Phone no, رقم التواصل
Re-linked {0} item rows that were already generated,تمت إعادة ربط {0} سطر صنف كان قد أُنشئ مسبقاً
Skipped {0} item rows with no supplier,تم تجاهل {0} سطر صنف بدون مورد
All items already have Invoice Form references,جميع الأصناف مرتبطة بفواتير موردين بالفعل
"Invoice Forms are already being created, please wait",جاري إنشاء فواتير الموردين بالفعل، يرجى الانتظار
Creating Invoice Forms...,جاري إنشاء فواتير الموردين...
"Creating Invoice Forms in the background, you will be notified when it is done",يتم إنشاء فواتير الموردين في الخلفية، وسيتم إعلامك عند الانتهاء
Creating Invoice Forms,إنشاء فواتير الموردين
Supplier {0} of {1},المورد {0} من {1}
Invoice Forms Created,تم إنشاء فواتير الموردين
Creating Invoice Forms Failed,فشل إنشاء فواتير الموردين
